,marie_best_friend,tina_best_friend,marie_enemy,marie_best_friend_paraphrase,bob_best_friend,unrelated_weather,unrelated_tech,marie_sister,tina_sister,anna_la,anna_sf,anna_la_past
marie_best_friend,1.000000,0.964946,0.954493,0.961160,0.956475,0.886278,0.604573,0.948038,0.927380,0.879087,0.848888,0.823682
tina_best_friend,0.964946,1.000000,0.901961,0.926209,0.969581,0.868660,0.566211,0.929167,0.961162,0.850713,0.816049,0.797812
marie_enemy,0.954493,0.901961,1.000000,0.942715,0.906189,0.900325,0.673559,0.938180,0.893277,0.903067,0.877812,0.850525
marie_best_friend_paraphrase,0.961160,0.926209,0.942715,1.000000,0.919332,0.886603,0.664294,0.908879,0.883710,0.905107,0.890055,0.855127
bob_best_friend,0.956475,0.969581,0.906189,0.919332,0.999999,0.882349,0.575036,0.931150,0.945022,0.861561,0.830351,0.804701
unrelated_weather,0.886278,0.868660,0.900325,0.886603,0.882349,1.000000,0.681889,0.895159,0.870544,0.916796,0.892078,0.876267
unrelated_tech,0.604573,0.566211,0.673559,0.664294,0.575036,0.681889,1.000000,0.623763,0.569335,0.709543,0.728220,0.682107
marie_sister,0.948038,0.929167,0.938180,0.908879,0.931150,0.895159,0.623763,1.000000,0.969670,0.872586,0.841501,0.813257
tina_sister,0.927380,0.961162,0.893277,0.883710,0.945022,0.870544,0.569335,0.969670,1.000000,0.840446,0.804751,0.785022
anna_la,0.879087,0.850713,0.903067,0.905107,0.861561,0.916796,0.709543,0.872586,0.840446,1.000000,0.982207,0.951461
anna_sf,0.848888,0.816049,0.877812,0.890055,0.830351,0.892078,0.728220,0.841501,0.804751,0.982207,1.000000,0.928140
anna_la_past,0.823682,0.797812,0.850525,0.855127,0.804701,0.876267,0.682107,0.813257,0.785022,0.951461,0.928140,1.000000
